catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Tomás Nido,,121,25,80.1,0.67,17,1.93,1.86,1.94,1,1.58,-.--,1.58
J.T. Realmuto,,143,28,88.4,0.68,37,1.89,1.88,1.89,2,1.42,1.34,1.51
Willson Contreras,,112,27,84.7,0.68,27,1.92,1.9,1.92,2,1.56,1.56,-.--
Jake Rogers,,116,24,79.2,0.65,8,1.91,1.9,1.92,3,1.63,1.66,1.62
Russell Martin,,119,36,83.6,0.75,9,2.04,1.92,2.07,0,-.--,-.--,-.--
Kyle Higashioka,,147,29,82.5,0.78,6,1.94,1.92,1.96,0,-.--,-.--,-.--
Sean Murphy,,133,24,87.4,0.79,6,1.98,1.92,2.01,0,-.--,-.--,-.--
Elias Díaz,,134,28,85.3,0.71,18,1.93,1.93,1.92,3,1.47,1.46,1.5
Gary Sánchez,,147,26,87.9,0.72,24,1.93,1.94,1.92,1,1.44,-.--,1.44
Yadier Molina,,138,36,84.4,0.69,13,1.97,1.94,2,1,1.45,-.--,1.45
Manny Piña,,158,32,83.2,0.66,16,1.95,1.94,1.96,2,1.63,1.58,1.69
Jacob Stallings,,134,29,84.7,0.7,9,1.98,1.95,2,1,1.53,-.--,1.53
Luke Maile,,141,28,83.2,0.7,13,1.99,1.95,2.02,1,1.6,-.--,1.6
Mike Zunino,,139,28,81.6,0.69,20,1.97,1.96,1.98,3,1.59,-.--,1.59
Martín Maldonado,,117,32,87.6,0.77,28,1.96,1.96,1.97,0,-.--,-.--,-.--
Welington Castillo,,145,32,79.9,0.65,19,1.96,1.96,1.96,0,-.--,-.--,-.--
Tony Wolters,,115,27,79.6,0.64,34,1.96,1.97,1.95,3,1.54,1.54,1.54
Reese McGuire,,141,24,79,0.63,9,1.97,1.97,1.96,3,1.62,-.--,1.62
Jorge Alfaro,,146,26,88.2,0.75,27,1.94,1.97,1.91,1,1.68,-.--,1.68
Austin Hedges,,135,26,83.2,0.68,18,1.92,1.97,1.9,3,1.55,1.62,1.51
Roberto Pérez,,114,30,82.6,0.73,32,1.96,1.97,1.95,0,-.--,-.--,-.--
Anthony Bemboom,,108,29,83.5,0.69,7,1.99,1.97,2.01,1,1.58,-.--,1.58
Kevan Smith,,108,31,83,0.77,11,2.06,1.98,2.07,1,1.51,-.--,1.51
Dustin Garneau,,133,31,78.1,0.68,9,1.97,1.98,1.96,1,1.62,-.--,1.62
Pedro Severino,,110,25,83.8,0.74,25,1.99,1.99,1.99,0,-.--,-.--,-.--
Sandy León,,111,30,78.7,0.67,15,2.02,1.99,2.04,2,1.57,1.57,-.--
Grayson Greiner,,116,26,85.8,0.76,25,1.97,1.99,1.97,2,1.51,1.49,1.53
Josh Phegley,,133,31,80,0.66,32,1.99,1.99,1.98,3,1.85,1.85,-.--
Yan Gomes,,120,31,80.5,0.66,24,1.96,1.99,1.95,3,1.53,1.52,1.55
Buster Posey,,137,32,83,0.73,41,2,1.99,2,3,1.55,-.--,1.55
Mitch Garver,,142,28,82.9,0.77,12,2.03,1.99,2.04,1,1.89,-.--,1.89
Willians Astudillo,,142,27,78.8,0.76,8,2,2,2,2,1.89,-.--,1.89
Christian Vázquez,,111,28,81.5,0.71,27,1.98,2,1.94,3,1.55,1.52,1.63
John Hicks,,116,29,82.8,0.72,24,2,2,2,3,1.56,-.--,1.56
Alex Avila,,109,32,81.5,0.74,18,2.01,2,2.01,0,-.--,-.--,-.--
Will Smith,,119,24,83.6,0.72,11,1.99,2,1.97,0,-.--,-.--,-.--
Francisco Cervelli,,144,33,80.2,0.68,11,1.99,2,1.98,0,-.--,-.--,-.--
Austin Wynns,,110,28,78.9,0.72,9,2.02,2,2.03,0,-.--,-.--,-.--
Bobby Wilson,,116,36,76.3,0.76,8,2.08,2,2.1,1,1.62,-.--,1.62
Meibrys Viloria,,118,22,82.5,0.74,9,1.98,2.01,1.93,3,1.58,1.58,-.--
Erik Kratz,,139,39,80.9,0.75,8,2.01,2.01,2.01,0,-.--,-.--,-.--
Isiah Kiner-Falefa,,140,24,78,0.66,9,2.02,2.01,2.03,0,-.--,-.--,-.--
Jonathan Lucroy,,112,33,80.1,0.69,28,2.01,2.01,2.01,2,1.56,-.--,1.56
Wilson Ramos,,121,31,81.6,0.71,59,2,2.01,2,5,1.57,-.--,1.57
James McCann,,145,29,81.1,0.75,21,2.05,2.02,2.07,6,1.6,1.54,1.63
Jose Trevino,,140,26,76.3,0.69,9,2.06,2.02,2.08,1,1.69,-.--,1.69
Carson Kelly,,109,24,82.5,0.74,18,1.98,2.02,1.97,0,-.--,-.--,-.--
Andrew Knapp,,143,27,83.9,0.73,14,1.99,2.02,1.98,0,-.--,-.--,-.--
Matt Wieters,,138,33,79.3,0.71,10,2.02,2.02,2,0,-.--,-.--,-.--
Nick Hundley,,133,35,80.5,0.7,13,2.01,2.03,2,1,1.54,1.54,-.--
Bryan Holaday,,146,31,78.1,0.69,9,2.03,2.03,2.02,2,1.58,1.59,1.57
Michael Perez,,139,26,84.3,0.74,6,2,2.03,1.99,0,-.--,-.--,-.--
Jason Castro,,142,32,81.2,0.74,20,2.01,2.03,2,2,1.61,-.--,1.61
Cam Gallagher,,118,26,80,0.74,14,2.04,2.03,2.05,0,-.--,-.--,-.--
Francisco Mejía,,135,23,89,0.77,12,1.95,2.03,1.94,1,1.62,-.--,1.62
Tucker Barnhart,,113,28,79.6,0.71,31,2.01,2.03,2,1,1.59,1.59,-.--
Danny Jansen,,141,24,80.3,0.77,36,2.05,2.03,2.06,3,1.56,-.--,1.56
Robinson Chirinos,,117,35,80.8,0.72,28,2.03,2.03,2.02,0,-.--,-.--,-.--
Travis d'Arnaud,,139,30,83.4,0.74,22,1.99,2.04,1.95,0,-.--,-.--,-.--
Tim Federowicz,,140,31,80.1,0.69,5,2.03,2.04,2.02,1,1.6,-.--,1.6
Chris Iannetta,,115,36,80.2,0.76,9,2.08,2.04,2.09,2,1.66,1.7,1.63
Kurt Suzuki,,120,35,80.9,0.78,25,2.06,2.04,2.07,4,1.65,1.67,1.63
Victor Caratini,,112,25,79,0.75,13,2.07,2.04,2.08,3,1.71,1.71,1.7
Jesús Sucre,,110,31,80.7,0.78,5,2.05,2.05,2.06,0,-.--,-.--,-.--
Max Stassi,,108,28,81.1,0.73,13,2.02,2.05,2.01,1,1.61,1.61,-.--
Tom Murphy,,136,28,84.9,0.78,17,2.04,2.06,2.02,1,1.79,-.--,1.79
Curt Casali,,113,30,79.2,0.75,20,2.07,2.06,2.08,3,1.61,1.62,1.61
Brian McCann,,144,35,77.2,0.78,20,2.08,2.08,2.08,3,1.63,1.66,1.62
Yasmani Grandal,,158,30,78.7,0.72,46,2.07,2.09,2.06,3,1.61,1.59,1.67
Tyler Flowers,,144,33,75.9,0.74,23,2.12,2.09,2.13,1,1.58,-.--,1.58
Chance Sisco,,110,24,79.1,0.78,20,2.1,2.09,2.1,0,-.--,-.--,-.--
Austin Romine,,147,30,82.2,0.82,14,2.06,2.1,2.03,3,1.68,1.56,1.74
Kevin Plawecki,,114,28,77.1,0.72,11,2.1,2.1,2.1,3,1.57,1.58,1.56
Omar Narváez,,136,27,79.2,0.74,32,2.07,2.1,2.06,3,1.62,1.62,1.64
Jeff Mathis,,140,36,76.7,0.77,26,2.11,2.12,2.11,3,1.78,-.--,1.78
Stephen Vogt,,137,34,73.4,0.7,14,2.14,2.13,2.14,2,1.72,1.65,1.78
Austin Barnes,,119,29,76.8,0.67,10,2.09,2.13,2.09,2,1.6,-.--,1.6
Caleb Joseph,,109,33,79.3,0.75,6,2.06,2.17,1.94,0,-.--,-.--,-.--